Customer_ID,Edad,churn_estimado,retencion_estimado,CLTV_1_anio,CLTV_2_anios,CLTV_3_anios,CLTV_4_anios,CLTV_5_anios
203,57,0,1,"1843,9252336448599","3567,2198445279064","5177,775555633557","6682,967809003324","8089,689541124601"
204,53,0,1,"479,70096195969626","928,0196179967955","1347,0090161623089","1738,5878929525081","2104,5494600461525"
206,29,"0,664765814655508","0,335234185344492","494,2667687991049","649,1220188750136","697,6386297212891","712,8390283313142","717,6013584667753"
207,40,1,0,0,0,0,0,0
208,47,1,0,0,0,0,0,0
210,56,1,0,0,0,0,0,0
214,35,"0,5841707210998908","0,41582927890010923","1398,080215741255","1941,409830653587","2152,5615708162686","2234,6205202091196","2266,510719978587"
215,25,"0,6616350919188361","0,33836490808116393","-2137,8210689109815","-2813,8618441222334","-3027,6454653965084","-3095,2500218093387","-3116,628535376157"
216,29,1,0,0,0,0,0,0
218,49,1,0,0,0,0,0,0
220,60,1,0,0,0,0,0,0
225,51,1,0,0,0,0,0,0
227,52,"0,015541450855779626","0,9844585491442204","1397,5631178972624","2683,3976593763387","3866,4357968941104","4954,8956178689","5956,338212409667"
230,30,0,1,"2838,551401869159","5491,403179316971","7970,703905903711","10287,807388695057","12453,324662331828"
235,39,"0,21827493291384847","0,7817250670861515","5964,986129111747","10322,91059822188","13506,741250531695","15832,797540501633","17532,177455756693"
237,39,1,0,0,0,0,0,0
239,60,1,0,0,0,0,0,0
240,34,0,1,"1464,261691369743","2832,730561808755","4111,673431377925","5306,947141255654","6424,025374786242"
245,44,1,0,0,0,0,0,0
247,46,1,0,-0,-0,-0,-0,-0
248,53,1,0,0,0,0,0,0
249,41,1,0,0,0,0,0,0
251,54,0,1,"4126,1682242990655","7982,400209625294","11586,355336098404","14954,53769728823","18102,371679708624"
252,43,1,0,0,0,0,0,0
253,32,0,1,"399,40185546875","772,6746175890771","1121,527666299663","1447,5585529450707","1752,2603161650775"
254,40,0,1,"538,4299019786799","1041,635417846605","1511,9209466951331","1951,440132534879","2362,205726777632"
263,40,0,1,"643,9252336448598","1245,7245174251025","1808,1537546028994","2333,7885557036443","2825,036033367892"
270,46,1,0,0,0,0,0,0
271,46,1,0,-0,-0,-0,-0,-0
272,56,1,0,0,0,0,0,0
273,44,0,1,"9966,635331483645","19281,24779081415","27986,493079908083","36122,23634074353","43725,734715356106"
274,32,"0,04040911172284689","0,9595908882771531","515,2734003979158","977,3777555319581","1391,7993710644969","1763,4584422515265","2096,7674686595856"
276,31,0,1,"-1360,8067973009152","-2632,588850853172","-3821,1702093132253","-4931,993908808602","-5970,146898991197"
281,27,0,1,"-5411,04656469042","-10468,099428887075","-15194,317058977405","-19611,34288149173","-23739,404397860264"
285,53,1,0,0,0,0,0,0
286,43,1,0,0,0,0,0,0
290,45,1,0,0,0,0,0,0
292,39,0,1,"-2609,0513425452687","-5047,417083241781","-7326,263569874036","-9456,026641492965","-11446,459418706918"
293,27,1,0,0,0,0,0,0
294,51,1,0,0,0,0,0,0
298,59,1,0,0,0,0,0,0
299,52,1,0,0,0,0,0,0
301,40,1,0,0,0,0,0,0
302,41,1,0,0,0,0,0,0
303,46,0,1,"4606,583928616247","8911,802553491245","12935,371361785634","16695,716042434597","20210,05686547101"
308,47,1,0,-0,-0,-0,-0,-0
309,38,1,0,0,0,0,0,0
310,34,1,0,0,0,0,0,0
311,41,1,0,0,0,0,0,0
312,41,1,0,0,0,0,0,0
313,65,1,0,0,0,0,0,0
315,35,"0,1819437184493622","0,8180562815506378","598,6948849879695","1056,4202227418436","1406,3689029048753","1673,9181702205044","1878,469907371739"
316,40,1,0,0,0,0,0,0
318,49,"0,013831502698181009","0,986168497301819","2853,437072566758","5483,315343593358","7907,150018943833","10141,084037166655","12199,995582794892"
319,35,0,1,"2872,196261682243","5556,49183334789","8065,179283502701","10409,746993927758","12600,931770025942"
322,59,1,0,-0,-0,-0,-0,-0
323,22,"0,8863623870760047","0,11363761292399532","177,39361823890198","196,233419476864","198,23426998213927","198,44676706180024","198,46933496917032"
324,33,"0,11298075348004089","0,8870192465199591","-778,9521287789348","-1424,6956150823078","-1960,0104755178118","-2403,7811149144827","-2771,662515087675"
326,26,0,1,"4990,775719758506","9655,052093364586","14014,188891127276","18088,14851520456","21895,587416211365"
327,48,"0,15055730735787431","0,8494426926421257","2188,704208985365","3926,254486254227","5305,646435903137","6400,706633957942","7270,043908014852"
328,38,"0,08406932941805367","0,9159306705819463","826,4605123536684","1533,9189528112336","2139,510432976799","2657,9027792634906","3101,6517973559376"
330,29,1,0,0,0,0,0,0
331,48,"0,17715659427413089","0,8228434057258691","1752,348858571975","3099,927085494595","4136,231625422666","4933,16280019238","5546,012858114464"
336,49,"0,5484105468165024","0,45158945318349764","1286,1858491371113","1829,0157223185884","2058,115017273439","2154,8055082392207","2195,613364260979"
337,48,1,0,0,0,0,0,0
338,26,1,0,0,0,0,0,0
339,30,"0,4717478112502951","0,5282521887497049","2418,3162365360904","3612,2235683483696","4201,648018062535","4492,643116814028","4636,305544693386"
342,35,"0,05884400208242102","0,941155997917579","1296,7194478308738","2437,2944814219","3440,5272234211884","4322,955739720188","5099,1266657466485"
344,46,"0,21049640991192398","0,789503590088076","3352,6576527510415","5826,428917408247","7651,7105010564555","8998,501494712445","9992,23637750655"
346,53,1,0,0,0,0,0,0
350,43,0,1,"2843,457943925234","5500,89527469648","7984,481565136896","10305,590247791491","12474,850698870552"
351,40,"0,360425233956462","0,639574766043538","412,8186222327851","659,5741117028311","807,0681158596194","895,2302123095283","947,9276442822929"
355,48,"0,1468718678575196","0,8531281321424804","4271,676446086639","7677,552471850117","10393,111959858017","12558,271019414997","14284,587004715197"
356,49,"0,24411633785333464","0,7558836621466654","2300,500136243566","3925,650106105892","5073,71020961718","5884,73813055792","6457,675284748465"
359,41,0,1,"9620,261390186915","18611,159885688707","27013,868759989444","34866,867707934056","42206,119061153324"
360,40,1,0,-0,-0,-0,-0,-0
364,48,0,1,"2542,0046227000585","4917,709877559926","7137,9951624756895","9213,028139032478","11152,311294693029"
365,42,1,0,0,0,0,0,0
369,31,"0,28579096046206187","0,7142090395379381","2772,649601972573","4623,35185356143","5858,6680008305675","6683,223102762154","7233,601333973989"
370,25,0,1,"773,3457761390187","1496,0988379511857","2171,5689891775096","2802,8495043422986","3392,831294215933"
372,49,"0,561150256794368","0,43884974320563197","3003,003637309249","4234,655389719288","4739,804974078085","4946,9869977942435","5031,960622004205"
375,48,0,1,"2966,588785046729","5739,101668267971","8330,235203988757","10751,855330830615","13015,051711056647"
376,54,"0,7240997694273692","0,2759002305726308","878,8195895786624","1105,4238207903425","1163,8538765286942","1178,920106295594","1182,8049439278816"
378,44,1,0,0,0,0,0,0
383,59,1,0,0,0,0,0,0
384,35,0,1,"9519,672714661216","18416,56310219506","26731,413931665942","34502,302557339666","41764,81529161417"
385,52,0,1,"8550,326737733645","16541,286305709014","24009,472817835525","30989,08638057058","37512,08971022951"
387,60,1,0,0,0,0,0,0
389,32,1,0,0,0,0,0,0
390,50,"0,0909776227591208","0,9090223772408792","493,3527554016901","912,4823764611128","1268,5554647858842","1571,0586472349357","1828,0513220319153"
391,28,1,0,0,0,0,0,0
393,49,"0,3746191898383797","0,6253808101616203","1649,4418868012735","2613,487964822107","3176,942093145286","3506,2630270328177","3698,740590058768"
396,48,"0,1247765833055805","0,8752234166944195","907,124083284216","1649,1205688335665","2256,048325149224","2752,4944789522783","3158,570459266589"
398,41,1,0,0,0,0,0,0
406,29,0,1,"3456,07476635514","6686,051183509477","9704,720732251846","12525,907226403595","15162,5301181342"
408,41,"0,3096120350897289","0,6903879649102711","1394,815975482708","2294,7824827143354","2875,4610298312027","3250,1278339536952","3491,871247428053"
411,73,1,0,0,0,0,0,0
