PVP,Edad_Media_Coche,Km_Medio_Por_Revision,churn_percentage,Revision,Margen
34883,4.0,127293,0.0,1.0,43.0
27063,1.0,52548,0.0,1.0,37.0
17247,1.9935064935064934,33403,0.45454545454545453,1.0,33.0
27658,2.0,39710,0.16666666666666666,1.0,33.0
25998,3.0,33275,0.0,1.0,33.0
32484,2.8,95161,0.2,1.0,33.0
21421,2.0,34454,0.0,1.0,37.0
12576,1.9644670050761421,28026,0.5228426395939086,1.0,28.0
32876,2.763157894736842,74708,0.02631578947368421,1.027027027027,43.0
18859,1.75,24711,0.75,1.0,33.0
23722,1.5714285714285714,54515,0.2857142857142857,1.0,33.0
22394,0.5,0,0.5,1.0,33.0
18719,1.9618055555555556,36230,0.46875,1.0,33.0
23035,2.1666666666666665,0,0.8333333333333334,1.0,33.0
19214,2.3076923076923075,35173,0.5641025641025641,1.0,33.0
20542,2.642857142857143,55800,0.42857142857142855,1.0,33.0
27621,1.5,40280,0.16666666666666666,1.0,33.0
21020,2.0729166666666665,42176,0.34375,1.0,33.0
35541,2.0,42758,0.19444444444444445,1.0,43.0
12315,2.3043478260869565,37120,0.43478260869565216,1.0,28.0
35000,2.0,64627,0.0,1.0,5.0
26971,2.0,50684,0.0,1.0,33.0
28262,0.0,37986,0.0,1.0,33.0
25938,0.5,0,1.0,1.0,33.0
20588,2.130434782608696,0,0.782608695652174,1.0,33.0
14339,2.1621621621621623,7777,0.6306306306306306,1.0,28.0
34751,1.7777777777777777,53995,0.0,1.0,43.0
18275,1.8955223880597014,42142,0.26865671641791045,1.0,33.0
13990,1.8571428571428572,34263,0.21428571428571427,1.0,28.0
22941,2.4193548387096775,69207,0.25806451612903225,1.0,33.0
24810,1.0,45948,0.0,1.0,33.0
23290,2.25,44085,0.4375,1.0,33.0
27959,2.0406976744186047,42782,0.1744186046511628,1.0,43.0
26044,2.0273972602739727,0,0.7534246575342466,1.0,33.0
30615,2.75,53717,0.0,1.0,37.0
24618,2.25,0,1.0,1.0,33.0
24864,2.6666666666666665,0,1.0,1.0,33.0
11975,1.5,23339,0.3333333333333333,1.0,28.0
13698,2.111111111111111,29234,0.6507936507936508,1.0,28.0
18321,2.511111111111111,45392,0.2222222222222222,1.0,33.0
17239,2.2857142857142856,11489,0.42857142857142855,1.0,28.0
20141,0.0,0,0.0,1.0,33.0
26731,0.5,24352,0.0,1.0,33.0
26075,1.8846153846153846,49120,0.1346153846153846,1.0,33.0
25079,2.0172413793103448,8219,0.6206896551724138,1.0,36.10344827586207
18581,2.5,23645,0.5,1.0,33.0
12865,2.5789473684210527,53419,0.47368421052631576,1.0,28.0
19861,2.1346153846153846,41443,0.28846153846153844,1.0,33.0
24366,2.0625,29796,0.4375,1.0,33.0
24389,2.5,67276,0.18181818181818182,1.0,33.0
26098,2.3513513513513513,69100,0.05405405405405406,1.0,33.0
29725,3.4285714285714284,102382,0.0,1.0,33.0
29799,4.0,58140,1.0,1.0,42.0
20671,2.0887337986041876,1067,0.7397806580259222,1.00501002004,42.0
23250,1.59375,17241,0.4375,1.0,33.0
19171,1.9428571428571428,34882,0.37142857142857144,1.0,33.0
21329,1.1875,22987,0.25,1.0,33.0
24750,2.1884057971014492,61117,0.17391304347826086,1.0,33.0
21335,4.5,49164,1.0,1.0,33.0
30483,0.0,0,0.0,1.0,33.0
31242,0.0,0,0.0,1.0,33.0
14814,2.029220779220779,4677,0.6753246753246753,1.0,28.0
12656,2.2256944444444446,28260,0.5972222222222222,1.0,28.0
19099,2.093220338983051,43943,0.3926553672316384,1.0,33.0
22609,1.9701492537313432,51246,0.1791044776119403,1.0,33.0
23376,1.9285714285714286,42585,0.21428571428571427,1.0,34.714285714285715
13389,3.0,0,0.8333333333333334,1.0,28.0
14720,1.8055555555555556,4179,0.6388888888888888,1.0,28.0
24458,4.0,0,1.0,1.0,37.0
15825,2.225806451612903,31299,0.45161290322580644,1.0,28.0
23891,2.0,25508,0.4411764705882353,1.0,33.0
32055,1.75,61958,0.0,1.0,33.0
31883,1.0,0,1.0,1.0,43.0
34760,2.2,53847,0.2,1.0,33.0
23227,0.0,78780,0.0,1.0,33.0
35650,3.0,98786,0.25,1.0,5.0
21896,2.2954545454545454,46217,0.45454545454545453,1.0,33.0
12195,1.9327731092436975,34649,0.44537815126050423,1.0,28.0
30054,2.375,25436,0.375,1.0,37.0
27386,2.6666666666666665,77721,0.2222222222222222,1.0,33.0
33847,1.6666666666666667,17198,0.2222222222222222,1.0,33.0
30681,2.5,23594,0.5,1.0,33.0
22964,2.0,0,1.0,1.0,33.0
22274,1.5,34423,0.16666666666666666,1.0,33.0
30246,2.143187066974596,58383,0.17782909930715934,1.0,5.0
15347,1.0,16864,0.5,1.0,28.0
15833,1.8,47312,0.2,1.0,28.0
17113,2.3947368421052633,38197,0.6052631578947368,1.0,33.0
35464,2.422222222222222,19026,0.4888888888888889,1.0,43.0
21441,2.25,56255,0.125,1.0,33.0
26261,3.0,82248,0.5,1.0,33.0
23605,4.0,33864,1.0,1.0,33.0
17803,1.7142857142857142,48916,0.0,1.0,33.0
34282,1.6666666666666667,54531,0.0,1.0,43.0
27200,1.3333333333333333,60662,0.0,1.0,33.0
34133,2.1294642857142856,60759,0.10714285714285714,1.0,5.0
24346,2.0,88666,0.0,1.0,33.0
24830,1.894736842105263,31702,0.42105263157894735,1.0,33.0
18261,2.0254777070063694,580,0.6878980891719745,1.00641025641,42.0
28743,1.9090909090909092,52074,0.2727272727272727,1.0,33.0
13755,1.4074074074074074,36008,0.18518518518518517,1.0,28.0
34316,1.3333333333333333,42304,0.0,1.0,43.0
26751,2.4,48235,0.2,1.0,33.0
33675,2.1547619047619047,60253,0.07738095238095238,1.005988023952,5.0
19234,2.274390243902439,36203,0.2682926829268293,1.0,33.0
26396,1.826086956521739,36859,0.13043478260869565,1.0,33.0
19566,1.0,0,1.0,1.0,33.0
21535,2.0351758793969847,47167,0.3316582914572864,1.0,33.0
35358,2.0115606936416186,51598,0.09248554913294797,1.0,43.0
18378,2.264705882352941,17578,0.5294117647058824,1.0,28.0
20370,2.2714285714285714,10052,0.6571428571428571,1.0,41.22857142857143
16125,1.75,36450,0.5,1.0,28.0
30758,1.7857142857142858,54704,0.07142857142857142,1.0,33.0
30094,2.380952380952381,76743,0.047619047619047616,1.0,43.0
24143,1.5,0,0.75,1.0,33.0
16200,4.0,47517,1.0,1.0,33.0
13446,3.0,49268,1.0,1.0,28.0
35404,2.2697368421052633,46898,0.19078947368421054,1.0,43.0
25663,1.0,0,0.5,1.0,33.0
19829,1.8461538461538463,40380,0.3076923076923077,1.0,33.0
13615,2.727272727272727,40374,0.5454545454545454,1.0,28.0
21650,2.1666666666666665,53233,0.0,1.0,33.0
14273,2.057377049180328,42986,0.13934426229508196,1.0,28.0
20986,2.75,0,1.0,1.0,33.0
16958,1.8992805755395683,35849,0.3381294964028777,1.0,33.0
36360,1.9591836734693877,9812,0.5918367346938775,1.0,33.0
20963,1.4285714285714286,0,0.5714285714285714,1.0,33.0
25045,1.6,32552,0.2,1.0,33.0
21604,2.8333333333333335,31380,0.5,1.0,33.0
34957,0.5,26720,0.0,1.0,5.0
28405,2.084967320261438,50530,0.07407407407407407,1.0,42.97821350762527
17081,2.3333333333333335,42759,0.37037037037037035,1.0,33.0
23496,1.9444444444444444,51774,0.25,1.0,33.0
21919,3.3333333333333335,0,0.8333333333333334,1.0,33.0
35235,1.25,25498,0.25,1.0,5.0
24421,4.0,155664,0.0,1.0,33.0
13738,2.01980198019802,37678,0.33663366336633666,1.0,28.0
15908,1.0,18315,0.0,1.0,28.0
34001,0.0,0,0.0,1.0,33.0
23542,2.1760204081632653,45877,0.37244897959183676,1.0,33.0
21621,2.0,47713,0.2537313432835821,1.0,33.0
26542,1.0,37709,0.0,1.0,33.0
23293,2.1132075471698113,32674,0.37735849056603776,1.0,33.0
13300,2.0,0,1.0,1.0,28.0
25262,2.044776119402985,50617,0.029850746268656716,1.0,43.0
26885,2.07981220657277,41707,0.22535211267605634,1.0,43.0
28643,1.7222222222222223,33371,0.2222222222222222,1.0,33.0
22901,2.0,65708,0.3333333333333333,1.0,33.0
21610,2.310344827586207,30529,0.3448275862068966,1.0,33.0
27217,1.8888888888888888,33130,0.25925925925925924,1.0,33.0
27229,2.5714285714285716,85910,0.07142857142857142,1.0,33.0
30217,3.142857142857143,86277,0.14285714285714285,1.0,37.0
14926,2.0,35131,0.42857142857142855,1.0,28.0
26582,1.826086956521739,42990,0.30434782608695654,1.0,33.0
24323,2.5,74146,0.14285714285714285,1.0,33.0
27916,5.0,73140,0.0,1.0,33.0
25308,2.0228310502283104,36588,0.1963470319634703,1.0,43.0
23439,1.6111111111111112,0,0.6111111111111112,1.0,33.0
25646,2.097560975609756,25108,0.36585365853658536,1.0,37.0
22308,1.6666666666666667,47286,0.08333333333333333,1.0,33.0
21126,2.0952380952380953,36465,0.2857142857142857,1.0,33.0
31700,2.75,56956,0.25,1.0,40.0
22600,1.9230769230769231,39058,0.38461538461538464,1.0,33.0
27469,3.111111111111111,0,0.8888888888888888,1.0,33.0
31846,2.5,102710,0.0,1.0,43.0
13452,4.0,44232,1.0,1.0,28.0
13008,2.0,32586,0.35185185185185186,1.0,28.0
27332,1.8987730061349692,51070,0.05521472392638037,1.003076923076,43.0
14099,2.15,34155,0.4,1.0,28.0
19245,3.0,69698,0.3333333333333333,1.0,33.0
22234,2.0634920634920637,49107,0.2222222222222222,1.0,33.0
13529,2.067415730337079,33174,0.4887640449438202,1.0,28.0
26384,2.2,87390,0.0,1.0,33.0
22875,2.019963702359347,7195,0.6678765880217786,1.0,41.84573502722323
25792,2.0863309352517985,35755,0.24820143884892087,1.003610108303,33.0
34448,2.015463917525773,62666,0.10309278350515463,1.0,5.0
26121,2.473684210526316,70384,0.10526315789473684,1.0,33.0
16706,2.3333333333333335,25465,0.6666666666666666,1.0,33.0
24512,1.8235294117647058,38953,0.058823529411764705,1.0,33.0
30131,2.823529411764706,77946,0.23529411764705882,1.0,33.0
13864,1.1818181818181819,0,0.5454545454545454,1.0,28.0
24106,0.3333333333333333,0,0.3333333333333333,1.0,37.0
33758,0.75,27305,0.0,1.0,43.0
27475,0.0,0,0.0,1.0,33.0
32713,2.6666666666666665,78433,0.0,1.0,33.0
23914,2.142857142857143,5699,0.7857142857142857,1.0,33.0
13100,1.803030303030303,41406,0.25757575757575757,1.0,28.0
26742,1.7142857142857142,51512,0.14285714285714285,1.0,33.0
21756,2.625,50698,0.125,1.0,33.0
17920,5.0,160302,1.0,1.0,33.0
32576,1.0,41343,0.0,1.0,33.0
25437,1.5,61668,0.07142857142857142,1.0,33.0
18627,2.0514285714285716,1068,0.72,1.005747126436,42.0
21209,1.7333333333333334,28422,0.4666666666666667,1.0,33.0
19958,1.0,54916,0.0,1.0,33.0
21850,1.5,40036,0.16666666666666666,1.0,33.0
27801,1.0,8644,0.2,1.0,37.0
24063,2.1176470588235294,45567,0.29411764705882354,1.0,37.0
